"type","geometry__type","geometry__coordinates__001","geometry__coordinates__002","properties__name__001","properties__name__002","properties__address__street","properties__address__zipcode","properties__address__city","properties__owner__001","properties__owner__002","properties__photo_taken","properties__source"
"Feature","Point","6.403538","52.902797","CJ2 Datatoren","","Van Veenstraat 26","9423 VB","Hoogersmilde","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","5.104102","52.018592","BT DC Nieuwegein","","","3433 PC","Nieuwegein","BT Netherlands","","False","datacentermap.com"
"Feature","Point","5.437404","52.522194","Alticom Datacenter Lelystad","","Oostvaardersdijk 1-3","8244 PA","Lelystad","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","5.765277","53.20489","DataCenter Fryslan 1","","FrancoisHaverSchmidtwei 3","8914 BC","Leeuwarden","DataCenter Fryslan","","False","datacentermap.com"
"Feature","Point","5.765277","53.20489","DataCenter Fryslan 1","","DataCenter Fryslan 2","8912 AK","Leeuwarden","DataCenter Fryslan","","False","datacentermap.com"
"Feature","Point","5.698838","52.909108","ViaData Toren","","Gaestdyk 3","8522 MV","Tjerkgaast","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","5.845431","50.995908","Unilogic Networks","","Bergerweg 120","6135 KD","Sittard","Unilogic","","False","datacentermap.com"
"Feature","Point","5.781152","50.928065","Cofely Datacenter Maastricht-Airport","","Amerikalaan 35","6199 AE","Maastricht","Cofely GDF SUEZ","","False","datacentermap.com"
"Feature","Point","5.899454","52.16569","Alticom Datacenter Ugchelen","","Otterloseweg 110","7339 GZ","Ugchelen","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","5.926008","50.832007","Datacenter Eys","","Eyserbosweg 27","6287 NE","Eys","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","5.835225","51.177003","Datacenter Ittervoort","","Branskamp 16","6014 CB","Ittervoort","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","5.659369","50.840286","Datacenter Maastricht","","Trichterbaan 170","6215 XZ","Maastricht","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","5.709744","50.864064","EKC Limmel","","Populierweg 150","6222 CT","Maastricht","EKC Limmel","","False","datacentermap.com"
"Feature","Point","5.976115","51.183717","Datacenter Roermond","","Op de Meuleberg 7","6041 NK","Roermond","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","5.987772","51.19132","Datacenter Zuid BV","","Postbus 1005","6040 KA","Roermond","Datacenter Zuid BV","","False","datacentermap.com"
"Feature","Point","6.01987","51.193267","ENNE Solutions","","Westhoven 6","6042 NV","Roermond","ENNE Solutions","","False","datacentermap.com"
"Feature","Point","5.704135","51.526324","Datacenter Gemert","","Hemelsbleekweg 15","5425 PB","De Mortel","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","6.622166","52.567534","Ecostora HDB01","","Bruchterweg 88","7772 BJ","Hardenberg","Ecostora","","False","datacentermap.com"
"Feature","Point","5.075431","51.607268","Datacenter Loon op Zand","","Finantiën 5","5175 NW","Loon op Zand","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","5.594093","51.809323","Datacenter Megen","","Ravensteinsedijk 2-A","5368 LB","Megen","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","5.604801","51.437986","Datacenter Mierlo","","Torenweg 1","5731 CJ","Mierlo","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","4.461151","51.523057","Datacenter Roosendaal","","Melis Stokelaan 25","4707 HP","Roosendaal","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","6.441662","52.2369","Datacenter Markelo","","Larenseweg 58","7475 PX","Markelo","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","6.139619","52.533618","Datacenter Zwolle","","Bergkloosterweg 621","8034 PP","Zwolle","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","6.142599","52.488394","ZW1 Zwolle IBX® Data Center","","Telfordstraat 3","8013 RL","Zwolle","Equinix","","False","datacentermap.com"
"Feature","Point","6.767381","52.284928","PCD1","","Expolaan 50","7556 BE","Hengelo","Previder","","False","datacentermap.com"
"Feature","Point","6.767264","52.243834","PCD2","","Barnsteenstraat 15","7554 TC","Hengelo","Previder","","False","datacentermap.com"
"Feature","Point","6.849658","52.237001","Datacenter Enschede","","Auke Vleerstraat 1","7521 PE","Enschede","Equinix","","False","datacentermap.com"
"Feature","Point","6.820988","52.216301","DataCentrum Twente","","Marssteden 110","7547 TD","Enschede","DataCentrum Twente","","False","datacentermap.com"
"Feature","Point","6.864338","52.2203","InterDC","","Josinkstraat 30","7547 AB","Enschede","InterDC","","False","datacentermap.com"
"Feature","Point","5.050569","52.002407","Datacenter IJsselstein","","Hogebiezendijk 21","3401 RS","IJsselstein","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","3.884479","51.510823","Datacenter Goes","","Cornelisweg 10","4463 AK","Goes","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","3.885993","51.491941","ZeelandNet Zakelijk","","Jenny Wijermanweg 24","4462 GB","Goes","ZeelandNet","","False","datacentermap.com"
"Feature","Point","4.646499","52.136933","Datacenter Alphen aan den Rijn","","Energieweg 4","2404 HE","Alphen aan den Rijn","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","4.640164","52.131092","Alldatacenter BV","","Handelsweg 8","2404 CD","Alphen aan den Rijn","Alldatacenter BV","","False","datacentermap.com"
"Feature","Point","4.335857","52.080714","Datacenter Den Haag","","Louise Henriëttestraat 385","2595 BK","Den Haag","Alticom","Cellnex Telecom","False","datacentermap.com"
"Feature","Point","4.386809","52.064513","Data facilities Den Haag","","Moezel 5","2491 CV","Den Haag","Data Facilities B.V.","","False","datacentermap.com"
"Feature","Point","4.679147","51.845913","Dataplace Rotterdam","","Van Coulsterweg 6","2952 CB","Alblasserdam","Dataplace B.V.","","False","datacentermap.com"
"Feature","Point","4.664457","51.858243","Datapark Nederland","","Edisonweg 10-220","2952 AD","Alblasserdam","Datapark Nederland","","False","datacentermap.com"
"Feature","Point","5.143087","52.122761","Dataplace Utrecht","","Koningin Wilhelminaweg 471","3737 BE","Groenekan","Dataplace B.V.","","False","datacentermap.com"
"Feature","Point","5.29572","51.715909","Blue Star","","Hambakenwetering 1","5321 DD","Den Bosch","Blue Star","","False","datacentermap.com"
"Feature","Point","5.07867","52.069108","RAM Infotechnology","","Ptolemaeuslaan 69","3538 BR","Utrecht","RAM Infotechnology","","False","datacentermap.com"
"Feature","Point","5.932863","51.988021","Dataplace Arnhem","","Tivolilaan 251","6824 BV","Arnhem","Dataplace B.V.","","False","datacentermap.com"
"Feature","Point","5.183618","51.698233","Databalance Services B.V.","","Hopbrouwer 18","5253 RE","Nieuwkuijk","Databalance Services B.V.","","False","datacentermap.com"
"Feature","Point","5.820668","50.962022","Data Exchange Europe","","Hofstraat 2A","6161 AR","Geleen","Data Exchange Europe","","False","datacentermap.com"
"Feature","Point","5.038593","51.69582","Dataplace Brabant","","Gragtmansstraat 1B Industrieterrein Haven 7","5145 RA","Waalwijk","Dataplace B.V.","","False","datacentermap.com"
"Feature","Point","4.301611","51.855601","Data Facilities Spijkenisse","","Boyleweg 2","3208 KA","Spijkernisse","Data facilities","","False","datacentermap.com"
"Feature","Point","4.741823","52.27444","Interxion AMS8","","Pudongweg 37","1437 EM","Rozenburg","Interxion","","False","datacentermap.com"
"Feature","Point","4.678661","52.289965","De President Business Park","","Jan Wijsmullerdreef 10","2132 PW","Hoofddorp","Digital Realty","","False","datacentermap.com"
"Feature","Point","5.39314","52.197477","Datahouse Amersfoort","","spaceshuttle 21","3824 ML","Amersfoort","Datahouse Datacenters","","False","datacentermap.com"
"Feature","Point","4.803156","51.59289","Concepts ICT","","St Ignatiusstraat 265","4817 KK","Breda","Concepts ICT","","False","datacentermap.com"
"Feature","Point","4.823378","51.594931","@Xit","","Takkebijsters 9b","4817 BL","Breda","@Xit","","False","datacentermap.com"
"Feature","Point","4.758859","51.614189","Zelybron DC Breda","","Schapendreef","4824 AM","Breda","Zelybron DC","","False","datacentermap.com"
"Feature","Point","4.929288","51.579078","Global-e Datacenter BV","","Haansbergseweg 12","5121 LJ","Rijen","Global-e Datacenter BV","","False","datacentermap.com"
"Feature","Point","4.772343","52.943255","Dataport","","Ravelijncenter 23","1785 LX","Den Helder","Dataport","","False","datacentermap.com"
